evalMode,method,seq_pos,pid,order,a,r,f,y,z,u,T1,class,weight,base_est,slack,deadline,aisle_switch,cum_time_end
aisle,DHGA,173,173,52,7,6,B,1,2,2,0.605760,medium,2,13.429826,3.940697,52.922879,1,170.827920
aisle,DHGA,174,17,6,7,7,A,1,1,1,0.501120,medium,2,11.672586,3.444210,40.202842,0,171.329040
aisle,DHGA,175,31,9,7,6,B,3,3,1,0.750160,medium,2,6.094233,4.677235,28.504161,0,172.079200
aisle,DHGA,176,256,76,9,8,B,3,4,1,0.899880,urgent,5,4.123914,1.614156,6.656641,1,174.304080
aisle,DHGA,177,33,9,9,9,A,1,1,2,0.548840,medium,2,6.094233,4.677235,28.504161,0,174.852920
aisle,DHGA,178,176,52,9,8,B,1,2,1,0.632280,medium,2,13.429826,3.940697,52.922879,0,175.485200
aisle,DHGA,179,210,63,9,8,B,1,4,1,0.857480,loose,1,9.865909,8.220331,81.101036,0,176.342680
aisle,DHGA,180,172,52,4,4,A,3,4,2,0.836240,medium,2,13.429826,3.940697,52.922879,1,178.503920
aisle,DHGA,181,89,26,4,4,A,3,1,1,0.487840,medium,2,6.094233,3.810253,23.220573,0,178.991760
aisle,DHGA,182,277,84,4,3,B,2,3,1,0.673280,medium,2,8.007323,4.454265,35.666735,0,179.665040
aisle,DHGA,183,171,52,5,5,A,3,4,1,0.844200,medium,2,13.429826,3.940697,52.922879,1,181.834240
aisle,DHGA,184,19,6,5,4,B,1,3,2,0.681240,medium,2,11.672586,3.444210,40.202842,0,182.515480
aisle,DHGA,185,128,37,2,1,B,1,3,2,0.625560,medium,2,13.429826,3.338419,44.834391,1,184.466040
aisle,DHGA,186,134,40,2,1,B,2,4,2,0.759360,medium,2,8.007323,4.784543,38.311380,0,185.225400
aisle,DHGA,187,220,65,2,1,B,3,3,2,0.667960,medium,2,2.093505,3.331845,6.975233,0,185.893360
aisle,DHGA,188,125,37,18,17,B,3,1,2,0.739720,medium,2,13.429826,3.338419,44.834391,1,187.958080
aisle,DHGA,189,191,58,18,17,B,3,1,1,0.729120,loose,1,13.429826,9.166272,123.101435,0,188.687200
aisle,DHGA,190,127,37,18,17,B,2,3,2,0.943720,medium,2,13.429826,3.338419,44.834391,0,189.630920
aisle,DHGA,191,154,45,18,18,A,2,4,2,1.074880,medium,2,8.007323,3.873341,31.015096,0,190.705800
aisle,DHGA,192,221,66,18,18,A,3,4,2,1.096080,medium,2,6.094233,4.017275,24.482212,0,191.801880
aisle,DHGA,193,126,37,15,15,A,2,2,2,0.794000,medium,2,13.429826,3.338419,44.834391,1,193.920880
aisle,DHGA,194,147,44,15,15,A,2,3,2,0.906600,loose,1,9.865909,8.870398,87.514542,0,194.827480
aisle,DHGA,195,279,84,15,15,A,1,1,2,0.660200,medium,2,8.007323,4.454265,35.666735,0,195.487680
aisle,DHGA,196,84,25,15,14,B,3,4,2,1.021840,medium,2,6.094233,3.606049,21.976104,0,196.509520
aisle,DHGA,197,149,44,15,14,B,1,4,1,0.968840,loose,1,9.865909,8.870398,87.514542,0,197.478360
aisle,DHGA,198,18,6,6,6,A,3,2,2,0.648160,medium,2,11.672586,3.444210,40.202842,1,199.451520
aisle,DHGA,199,20,6,6,6,A,1,3,1,0.707760,medium,2,11.672586,3.444210,40.202842,0,200.159280
aisle,DHGA,200,16,6,6,6,A,2,3,1,0.728960,medium,2,11.672586,3.444210,40.202842,0,200.888240
aisle,DHGA,201,136,40,6,5,B,2,2,1,0.597800,medium,2,8.007323,4.784543,38.311380,0,201.486040
aisle,DHGA,202,137,40,6,5,B,2,4,1,0.823000,medium,2,8.007323,4.784543,38.311380,0,202.309040
aisle,DHGA,203,198,59,6,5,B,1,4,1,0.801800,medium,2,2.093505,4.211835,8.817498,0,203.110840
aisle,DHGA,204,139,41,6,6,A,1,1,1,0.482560,medium,2,4.123914,3.791673,15.636536,0,203.593400
aisle,DHGA,205,65,20,6,5,B,1,3,1,0.689200,loose,1,9.865909,8.697700,85.810710,0,204.282600
aisle,DHGA,206,135,40,3,2,B,3,2,2,0.573920,medium,2,8.007323,4.784543,38.311380,1,206.181520
aisle,DHGA,207,170,51,3,2,B,3,4,1,0.788520,medium,2,8.007323,3.625159,29.027818,0,206.970040
